"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"02/26/2022","52","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","34","13","52"
"02/27/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","12","18"
"02/28/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","9","7"
"03/01/2022","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","3","10"
"03/02/2022","23","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","23","5","13"
"03/03/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","4","10"
"03/04/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","6","9"
"03/05/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","6","26"
"03/06/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","7","23"
"03/07/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","10","23"
"03/08/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","5","20"
"03/09/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","6","14"
"03/10/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","10","21"
"03/11/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","19","19"
"03/12/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","17","16"
"03/13/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","12","8"
"03/14/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","7","8"
"03/15/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","6","8"
"03/16/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","5","9"
"03/17/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","14","14"
"03/18/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","6","11"
"03/19/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","8","13"
"03/20/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","4","10"
"03/21/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","3","14"
"03/22/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","8","24"
"03/23/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","14","18"
"03/24/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","11","10"
"03/25/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","19","20"
"03/26/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","16","20"
"03/27/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","19","27"
"03/28/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","14","15"
"03/29/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","18","17"
"03/30/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","18","9"
"03/31/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","9","8"
"04/01/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","11","11"
"04/02/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","6","10"
"04/03/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","6","18"
"04/04/2022","73","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","41","73","10"
"04/05/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","13","9"
"04/06/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","8","13"
"04/07/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","22","19"
"04/08/2022","51","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","43","51","13"
"04/09/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","7","6"
"04/10/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","5","7"
"04/11/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","2","8"
"04/12/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","4","13"
"04/13/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","6","17"
"04/14/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","7","21"
"04/15/2022","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","4","12"
"04/16/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","2","10"
"04/17/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","1","7"
"04/18/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","7","13"
"04/19/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","3","4"
"04/20/2022","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","5","9"
"04/21/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","3","9"
"04/22/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","6","13"
"04/23/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","7","10"
"04/24/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","8","15"
